Faction,Tier,Name
Expeditionary Forces of Abyssinia,grunt,Peni Abba Rahel
Expeditionary Forces of Abyssinia,grunt,Bekele Abba Abeba
Expeditionary Forces of Abyssinia,grunt,Peni Abba Fikre
Expeditionary Forces of Abyssinia,grunt,Fikre Abba Mareg
Expeditionary Forces of Abyssinia,grunt,Tigist Abba Peni
Expeditionary Forces of Abyssinia,grunt,Endale Abba Dereje
Expeditionary Forces of Abyssinia,grunt,Rasu Abba Duniya
Expeditionary Forces of Abyssinia,grunt,Medhin Abba Hami
Expeditionary Forces of Abyssinia,grunt,Desta Abba Rahel
Expeditionary Forces of Abyssinia,grunt,Ulo Abba Tewodros
Expeditionary Forces of Abyssinia,grunt,Reni Abba Almaz
Expeditionary Forces of Abyssinia,grunt,Chalachew Abba Endale
Expeditionary Forces of Abyssinia,grunt,Amleset Abba Selam
Expeditionary Forces of Abyssinia,grunt,Fikirte Abba Lensa
Expeditionary Forces of Abyssinia,grunt,Adi Abba Yohannes
Expeditionary Forces of Abyssinia,grunt,Gabi Abba Weni
Expeditionary Forces of Abyssinia,grunt,Kisanet Abba Selam
Expeditionary Forces of Abyssinia,grunt,Tamrat Abba Tadesse
Expeditionary Forces of Abyssinia,grunt,Hasset Abba Kiro
Expeditionary Forces of Abyssinia,grunt,Obi Abba Fasil
Expeditionary Forces of Abyssinia,grunt,Nuru Abba Weni
Expeditionary Forces of Abyssinia,grunt,Reni Abba Jemari
Expeditionary Forces of Abyssinia,grunt,Habte Abba Obi
Expeditionary Forces of Abyssinia,grunt,Oumer Abba Lomi
Expeditionary Forces of Abyssinia,grunt,Tewodros Abba Woldemariam
Expeditionary Forces of Abyssinia,grunt,Dawit Abba Fana
Expeditionary Forces of Abyssinia,grunt,Reni Abba Olan
Expeditionary Forces of Abyssinia,grunt,Fari Abba Tadesse
Expeditionary Forces of Abyssinia,grunt,Umi Abba Nati
Expeditionary Forces of Abyssinia,grunt,Zano Abba Jember
Expeditionary Forces of Abyssinia,grunt,Yoni Abba Mikael
Expeditionary Forces of Abyssinia,grunt,Kebebush Abba Hagos
Expeditionary Forces of Abyssinia,grunt,Fana Abba Tekle
Expeditionary Forces of Abyssinia,grunt,Nuru Abba Fikre
Expeditionary Forces of Abyssinia,grunt,Nardos Abba Bisrat
Expeditionary Forces of Abyssinia,grunt,Tadese Abba Yoni
Expeditionary Forces of Abyssinia,grunt,Zere Abba Hami
Expeditionary Forces of Abyssinia,grunt,Genu Abba Tani
Expeditionary Forces of Abyssinia,grunt,Nebiyu Abba Jani
Expeditionary Forces of Abyssinia,grunt,Umer Abba Olan
Expeditionary Forces of Abyssinia,grunt,Wubet Abba Jiru
Expeditionary Forces of Abyssinia,grunt,Tigist Abba Vero
Expeditionary Forces of Abyssinia,grunt,Tero Abba Isayas
Expeditionary Forces of Abyssinia,grunt,Duniya Abba Kalu
Expeditionary Forces of Abyssinia,grunt,Meles Abba Oumer
Expeditionary Forces of Abyssinia,grunt,Vero Abba Jemari
Expeditionary Forces of Abyssinia,grunt,Zano Abba Kassa
Expeditionary Forces of Abyssinia,grunt,Desta Abba Birtukan
Expeditionary Forces of Abyssinia,grunt,Bariu Abba Vero
Expeditionary Forces of Abyssinia,grunt,Jani Abba Yared
Expeditionary Forces of Abyssinia,grunt,Emebet Abba Getachew
Expeditionary Forces of Abyssinia,grunt,Birtukan Abba Lemma
Expeditionary Forces of Abyssinia,grunt,Sefu Abba Jember
Expeditionary Forces of Abyssinia,grunt,Tiru Abba Isayas
Expeditionary Forces of Abyssinia,grunt,Kiros Abba Dagne
Expeditionary Forces of Abyssinia,grunt,Kaleb Abba Aman
Expeditionary Forces of Abyssinia,grunt,Endale Abba Mulu
Expeditionary Forces of Abyssinia,grunt,Zewditu Abba Gebre
Expeditionary Forces of Abyssinia,grunt,Yeshimebet Abba Lomi
Expeditionary Forces of Abyssinia,grunt,Almaz Abba Hirut
Expeditionary Forces of Abyssinia,grunt,Yohannes Abba Aman
Expeditionary Forces of Abyssinia,grunt,Bekele Abba Frehiwot
Expeditionary Forces of Abyssinia,grunt,Endale Abba Lemma
Expeditionary Forces of Abyssinia,grunt,Amleset Abba Umer
Expeditionary Forces of Abyssinia,grunt,Almaz Abba Rezene
Expeditionary Forces of Abyssinia,grunt,Tewodros Abba Laru
Expeditionary Forces of Abyssinia,grunt,Xilo Abba Eyoel
Expeditionary Forces of Abyssinia,grunt,Wubet Abba Tsion
Expeditionary Forces of Abyssinia,grunt,Xilo Abba Yared
Expeditionary Forces of Abyssinia,grunt,Mahlet Abba Fari
Expeditionary Forces of Abyssinia,grunt,Mahlet Abba Olan
Expeditionary Forces of Abyssinia,grunt,Adi Abba Tamrat
Expeditionary Forces of Abyssinia,grunt,Bena Abba Guta
Expeditionary Forces of Abyssinia,grunt,Mino Abba Zaray
Expeditionary Forces of Abyssinia,grunt,Mino Abba Tigist
Expeditionary Forces of Abyssinia,grunt,Wubet Abba Chalachew
Expeditionary Forces of Abyssinia,grunt,Kiros Abba Dawit
Expeditionary Forces of Abyssinia,grunt,Zemzem Abba Mikael
Expeditionary Forces of Abyssinia,grunt,Jiru Abba Hassen
Expeditionary Forces of Abyssinia,grunt,Zewde Abba Aman
Expeditionary Forces of Abyssinia,grunt,Qena Abba Kalu
Expeditionary Forces of Abyssinia,grunt,Fana Abba Eden
Expeditionary Forces of Abyssinia,grunt,Weni Abba Laru
Expeditionary Forces of Abyssinia,grunt,Kiro Abba Genu
Expeditionary Forces of Abyssinia,grunt,Hasset Abba Senait
Expeditionary Forces of Abyssinia,grunt,Rezene Abba Wubet
Expeditionary Forces of Abyssinia,grunt,Rahel Abba Zemzem
Expeditionary Forces of Abyssinia,grunt,Bena Abba Amleset
Expeditionary Forces of Abyssinia,grunt,Senait Abba Yordanos
Expeditionary Forces of Abyssinia,grunt,Kiro Abba Eyoel
Expeditionary Forces of Abyssinia,grunt,Zuri Abba Kassa
Expeditionary Forces of Abyssinia,grunt,Senait Abba Jiru
Expeditionary Forces of Abyssinia,grunt,Tani Abba Fasil
Expeditionary Forces of Abyssinia,grunt,Oumer Abba Tamrat
Expeditionary Forces of Abyssinia,grunt,Vero Abba Bethel
Expeditionary Forces of Abyssinia,grunt,Yeshimebet Abba Jiru
Expeditionary Forces of Abyssinia,grunt,Jember Abba Tekle
Expeditionary Forces of Abyssinia,grunt,Tadese Abba Dawit
Expeditionary Forces of Abyssinia,grunt,Bereket Abba Haile
Expeditionary Forces of Abyssinia,grunt,Bisrat Abba Sefu
Expeditionary Forces of Abyssinia,elite,The Deserted Crown Fikirte
Expeditionary Forces of Abyssinia,elite,Warden of the Lion Throne Zano
Expeditionary Forces of Abyssinia,elite,Patriarch of the Black Sun
Expeditionary Forces of Abyssinia,elite,Commander of the Holy Reclaimers
Expeditionary Forces of Abyssinia,elite,The Starbound Prelate Jember
Expeditionary Forces of Abyssinia,elite,The Burning Hierophant Lemma
Expeditionary Forces of Abyssinia,elite,Patriarch of the Black Sun
Expeditionary Forces of Abyssinia,elite,The Dust Crowned King Eleni
Expeditionary Forces of Abyssinia,elite,Commander of the Holy Reclaimers
Expeditionary Forces of Abyssinia,elite,The Lion-Born Judge Mahlet
Expeditionary Forces of Abyssinia,elite,Lord of the Seven Monasteries
Expeditionary Forces of Abyssinia,elite,Arch-Bishop of the Ashen Creed
Expeditionary Forces of Abyssinia,elite,High Confessor of War Eleni
Expeditionary Forces of Abyssinia,elite,The Blackened Archbishop
Expeditionary Forces of Abyssinia,elite,Guardian of the Red Covenant
Expeditionary Forces of Abyssinia,elite,The Golden Spear of Zion
Expeditionary Forces of Abyssinia,elite,The Crimson Abbot Iman
Expeditionary Forces of Abyssinia,elite,The Lion of the Ash Marches
Expeditionary Forces of Abyssinia,elite,Abbot-General of Steel Prayer
Expeditionary Forces of Abyssinia,elite,The Starbound Prelate Kisanet
Expeditionary Forces of Abyssinia,elite,The Siege Saint of Tewahedo
Expeditionary Forces of Abyssinia,elite,The Flame of Lalibela Selam
Expeditionary Forces of Abyssinia,elite,The Holy Executioner of Kings
Expeditionary Forces of Abyssinia,elite,Protector of the Coptic Gate
Expeditionary Forces of Abyssinia,elite,The Blackened Archbishop Jiru
Expeditionary Forces of Abyssinia,elite,The Red Monastic Lord Tani
Expeditionary Forces of Abyssinia,elite,The Abyssal Monk-King Umi
Expeditionary Forces of Abyssinia,elite,The Golden Spear of Zion
Expeditionary Forces of Abyssinia,elite,Patriarch of the Black Sun
Expeditionary Forces of Abyssinia,elite,Commander of the Holy Reclaimers
Expeditionary Forces of Abyssinia,elite,The Iron Patriarch Kiros
Expeditionary Forces of Abyssinia,elite,Keeper of the Seventh Seal Adi
Expeditionary Forces of Abyssinia,elite,The Iron Patriarch Desta
Expeditionary Forces of Abyssinia,elite,Warden of the Lion Throne Aman
Expeditionary Forces of Abyssinia,elite,Patriarch of the Black Sun
Expeditionary Forces of Abyssinia,elite,The Silent Emperor Zewde
Expeditionary Forces of Abyssinia,elite,Warden of the Lion Throne Vero
Expeditionary Forces of Abyssinia,elite,The Crownless Emperor Dagmawit
Expeditionary Forces of Abyssinia,elite,The Lion-Born Judge Bekele
Expeditionary Forces of Abyssinia,elite,The Golden Liturgist Chalachew
Expeditionary Forces of Abyssinia,elite,Warden of the Lion Throne
Expeditionary Forces of Abyssinia,elite,Lord of the Seven Monasteries
Expeditionary Forces of Abyssinia,elite,The Thunder Confessor Hirut
Expeditionary Forces of Abyssinia,elite,The Burning Hierophant Mesfin
Expeditionary Forces of Abyssinia,elite,The Dust Crowned King Umer
Expeditionary Forces of Abyssinia,elite,The Golden Liturgist Tani
Expeditionary Forces of Abyssinia,elite,The Spear of Solomon Bari
Expeditionary Forces of Abyssinia,elite,The Silent Emperor Adi
Expeditionary Forces of Abyssinia,elite,The Golden Spear of Zion Laru
Expeditionary Forces of Abyssinia,elite,The Ashen Patriarchate Hani
Expeditionary Forces of Abyssinia,elite,The Deserted Crown Adi
Expeditionary Forces of Abyssinia,elite,The Iron Evangelist Gebre
Expeditionary Forces of Abyssinia,elite,Voice of the Orthodox Flame
Expeditionary Forces of Abyssinia,elite,General of the Sanctified Legions
Expeditionary Forces of Abyssinia,elite,High Confessor of War Desta
Expeditionary Forces of Abyssinia,elite,Commander of the Holy Reclaimers
Expeditionary Forces of Abyssinia,elite,The Last Bishop of War Hagos
Expeditionary Forces of Abyssinia,elite,Commander of the Holy Reclaimers
Expeditionary Forces of Abyssinia,elite,Warden of the Broken Psalter
Expeditionary Forces of Abyssinia,elite,The Martyr-Commander Sabaht
Expeditionary Forces of Abyssinia,elite,The Crimson Abbot Endale
Expeditionary Forces of Abyssinia,elite,The Ashen Patriarchate Umer
Expeditionary Forces of Abyssinia,elite,The Dust Crowned King Senait
Expeditionary Forces of Abyssinia,elite,Warden of the Broken Psalter
Expeditionary Forces of Abyssinia,elite,The Blackened Archbishop Mino
Expeditionary Forces of Abyssinia,elite,The Red Monastic Lord Nardos
Expeditionary Forces of Abyssinia,elite,The Flame of Lalibela Habte
Expeditionary Forces of Abyssinia,elite,Protector of the Coptic Gate
Expeditionary Forces of Abyssinia,elite,Warden of the Broken Psalter
Expeditionary Forces of Abyssinia,elite,The War Saint of Axum Amleset
Expeditionary Forces of Abyssinia,elite,The Thunder Confessor Medhin
Expeditionary Forces of Abyssinia,elite,Voice of the Orthodox Flame
Expeditionary Forces of Abyssinia,elite,Marshal of the Lion Host
Expeditionary Forces of Abyssinia,elite,Keeper of the Seventh Seal
Expeditionary Forces of Abyssinia,elite,Warden of the Lion Throne Gabi
Expeditionary Forces of Abyssinia,elite,The Last Bishop of War Mesi
Expeditionary Forces of Abyssinia,elite,The Burning Hierophant Dawit
Expeditionary Forces of Abyssinia,elite,Saint-General of the Eastern Front
Expeditionary Forces of Abyssinia,elite,General of the Sanctified Legions
Expeditionary Forces of Abyssinia,elite,High Confessor of War Tani
Expeditionary Forces of Abyssinia,elite,Patriarch of the Black Sun
Expeditionary Forces of Abyssinia,elite,The Saint of Endless Siege
Expeditionary Forces of Abyssinia,elite,Keeper of the Burning Ark
Expeditionary Forces of Abyssinia,elite,Herald of the Last Empire
Expeditionary Forces of Abyssinia,elite,The Deserted Crown Bena
Expeditionary Forces of Abyssinia,elite,The Martyr-Commander Nebiyu
Expeditionary Forces of Abyssinia,elite,The Abyss-Touched Strategos
Expeditionary Forces of Abyssinia,elite,The Dust Crowned King Chaltu
Expeditionary Forces of Abyssinia,elite,The Martyr-Commander Kassa
Expeditionary Forces of Abyssinia,elite,Marshal of the Lion Host Abiy
Expeditionary Forces of Abyssinia,elite,High Confessor of War Tero
Expeditionary Forces of Abyssinia,elite,The Iron Evangelist Eyoel
Expeditionary Forces of Abyssinia,elite,The Dust Crowned King Desta
Expeditionary Forces of Abyssinia,elite,The Blessed Warlord Xilo
Expeditionary Forces of Abyssinia,elite,The Saint of Endless Siege
Expeditionary Forces of Abyssinia,elite,The Holy Executioner of Kings
Expeditionary Forces of Abyssinia,elite,Warden of the Lion Throne Imru
Expeditionary Forces of Abyssinia,elite,The Deserted Crown Ilyas
Expeditionary Forces of Abyssinia,elite,The Abyss-Touched Strategos
Expeditionary Forces of Abyssinia,elite,Keeper of the Seventh Seal
Expeditionary Forces of Abyssinia,leader,The Lion-Born Judge Getenesh
Expeditionary Forces of Abyssinia,leader,Keeper of the Burning Ark Yohannes
Expeditionary Forces of Abyssinia,leader,The Burning Hierophant Oumer
Expeditionary Forces of Abyssinia,leader,Captain of the Radiant Spear Bena
Expeditionary Forces of Abyssinia,leader,The Blessed Warlord Kaleb
Expeditionary Forces of Abyssinia,leader,The Last Bishop of War Kisanet
Expeditionary Forces of Abyssinia,leader,The Blackened Archbishop Ilyas
Expeditionary Forces of Abyssinia,leader,The Crownless Emperor Xilo
Expeditionary Forces of Abyssinia,leader,The War Choir Master Amanuel
Expeditionary Forces of Abyssinia,leader,The Blessed Warlord Oumer
Expeditionary Forces of Abyssinia,leader,The Spear of Solomon Eyoel
Expeditionary Forces of Abyssinia,leader,The Ashen Patriarchate Yohannes
Expeditionary Forces of Abyssinia,leader,The Iron Patriarch Iman
Expeditionary Forces of Abyssinia,leader,Keeper of the Seventh Seal Zere
Expeditionary Forces of Abyssinia,leader,The Golden Spear of Zion Senait
Expeditionary Forces of Abyssinia,leader,The Burning Hierophant Habte
Expeditionary Forces of Abyssinia,leader,The Saint of Endless Siege Eleni
Expeditionary Forces of Abyssinia,leader,The Iron Evangelist Yeshimebet
Expeditionary Forces of Abyssinia,leader,The Abyssal Monk-King Xilo
Expeditionary Forces of Abyssinia,leader,The Siege Saint of Tewahedo Adi
Expeditionary Forces of Abyssinia,leader,The Golden Liturgist Abiy
Expeditionary Forces of Abyssinia,leader,Guardian of the Red Covenant Yared
Expeditionary Forces of Abyssinia,leader,Warden of the Broken Psalter Pano
